方法名称1,方法名称2,方法参数,返回值类型,链接
Series.,ffill,"(*, axis=None, inplace=False, limit=None, downcast=None)",Series/DataFrame or None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.ffill.html
Series.,fillna,"(value=None, *, method=None, axis=None, inplace=False, limit=None, downcast=None)",Series or None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.fillna.html
DatetimeIndex.,dayofweek,,Series or Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.dayofweek.html
MonthEnd.,is_month_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthEnd.is_month_end.html
pandas.arrays.,BooleanArray,"(values, mask, copy=False)",BooleanArray,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.arrays.BooleanArray.html
DatetimeIndex.,quarter,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.quarter.html
pandas.,StringDtype,(storage=None),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.StringDtype.html
MonthEnd.,is_month_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthEnd.is_month_end.html
DataFrame.,stack,"(level=- 1, dropna=True)",DataFrame or Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.stack.html
DatetimeIndex.,day_of_week,,Series or Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.day_of_week.html
Series.,fillna,"(value=None, *, method=None, axis=None, inplace=False, limit=None, downcast=None)",Series or None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.fillna.html
pandas.,BooleanDtype,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.BooleanDtype.html
Series.,interpolate,"(method='linear', *, axis=0, limit=None, inplace=False, limit_direction=None, limit_area=None, downcast=None, **kwargs)",Series or DataFrame or None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.interpolate.html
MonthEnd.,is_quarter_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthEnd.is_quarter_start.html
DatetimeIndex.,tz,,"datetime.tzinfo, pytz.tzinfo.BaseTZInfo, dateutil.tz.tz.tzfile, or None",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.tz.html
pandas.arrays.,BooleanArray,"(values, mask, copy=False)",BooleanArray,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.arrays.BooleanArray.html
DataFrame.,unstack,"(level=- 1, fill_value=None)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.unstack.html
DatetimeIndex.,weekday,,Series or Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.weekday.html
pandas.,NA,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.NA.html
MonthEnd.,is_quarter_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthEnd.is_quarter_start.html
Series.,interpolate,"(method='linear', *, axis=0, limit=None, inplace=False, limit_direction=None, limit_area=None, downcast=None, **kwargs)",Series or DataFrame or None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.interpolate.html
DataFrame.,swapaxes,"(axis1, axis2, copy=None)",same as input,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.swapaxes.html
DatetimeIndex.,freq,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.freq.html
pandas.,BooleanDtype,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.BooleanDtype.html
Series.,isna,(),Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.isna.html
DatetimeIndex.,quarter,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.quarter.html
MonthEnd.,is_quarter_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthEnd.is_quarter_end.html
pandas.api.types.,union_categoricals,"(to_union, sort_categories=False, ignore_order=False)",Categorical,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.union_categoricals.html
DataFrame.,melt,"(id_vars=None, value_vars=None, var_name=None, value_name='value', col_level=None, ignore_index=True)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.melt.html
Series.,isna,(),Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.isna.html
pandas.,NA,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.NA.html
DatetimeIndex.,freqstr,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.freqstr.html
MonthEnd.,is_quarter_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthEnd.is_quarter_end.html
DatetimeIndex.,tz,,"datetime.tzinfo, pytz.tzinfo.BaseTZInfo, dateutil.tz.tz.tzfile, or None",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.tz.html
Series.,isnull,(),Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.isnull.html
pandas.api.types.,infer_dtype,(),str,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.infer_dtype.html
MonthEnd.,is_year_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthEnd.is_year_start.html
DataFrame.,explode,"(column, ignore_index=False)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.explode.html
DatetimeIndex.,is_month_start,,boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.is_month_start.html
Series.,isnull,(),Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.isnull.html
pandas.api.types.,union_categoricals,"(to_union, sort_categories=False, ignore_order=False)",Categorical,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.union_categoricals.html
DatetimeIndex.,freq,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.freq.html
MonthEnd.,is_year_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthEnd.is_year_start.html
Series.,notna,(),Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.notna.html
pandas.api.types.,pandas_dtype,(dtype),np.dtype or a pandas dtype,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.pandas_dtype.html
DataFrame.,squeeze,(axis=None),"DataFrame, Series, or scalar",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.squeeze.html
pandas.api.types.,infer_dtype,(),str,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.infer_dtype.html
DatetimeIndex.,is_month_end,,boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.is_month_end.html
Series.,notna,(),Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.notna.html
DatetimeIndex.,freqstr,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.freqstr.html
MonthEnd.,is_year_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthEnd.is_year_end.html
Series.,notnull,(),Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.notnull.html
pandas.api.types.,pandas_dtype,(dtype),np.dtype or a pandas dtype,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.pandas_dtype.html
pandas.api.types.,is_any_real_numeric_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_any_real_numeric_dtype.html
DataFrame.,to_xarray,(),xarray.DataArray or xarray.Dataset,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.to_xarray.html
MonthEnd.,is_year_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthEnd.is_year_end.html
Series.,notnull,(),Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.notnull.html
DatetimeIndex.,is_quarter_start,,boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.is_quarter_start.html
DatetimeIndex.,is_month_start,,boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.is_month_start.html
pandas.api.types.,is_any_real_numeric_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_any_real_numeric_dtype.html
Series.,pad,"(*, axis=None, inplace=False, limit=None, downcast=None)",Series/DataFrame or None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.pad.html
pandas.api.types.,is_bool_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_bool_dtype.html
pandas.tseries.offsets.,MonthBegin,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.html
DataFrame.,T,,DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.T.html
DatetimeIndex.,is_month_end,,boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.is_month_end.html
DatetimeIndex.,is_quarter_end,,boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.is_quarter_end.html
Series.,pad,"(*, axis=None, inplace=False, limit=None, downcast=None)",Series/DataFrame or None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.pad.html
pandas.api.types.,is_bool_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_bool_dtype.html
pandas.tseries.offsets.,MonthBegin,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.html
pandas.api.types.,is_categorical_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_categorical_dtype.html
DataFrame.,transpose,"(*args, copy=False)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.transpose.html
Series.,replace,"(to_replace=None, value=_NoDefault.no_default, *, inplace=False, limit=None, regex=False, method=_NoDefault.no_default)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.replace.html
pandas.api.types.,is_categorical_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_categorical_dtype.html
MonthBegin.,freqstr,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.freqstr.html
DatetimeIndex.,is_quarter_start,,boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.is_quarter_start.html
DatetimeIndex.,is_year_start,,boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.is_year_start.html
pandas.api.types.,is_complex_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_complex_dtype.html
DataFrame.,assign,(**kwargs),DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.assign.html
MonthBegin.,freqstr,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.freqstr.html
Series.,replace,"(to_replace=None, value=_NoDefault.no_default, *, inplace=False, limit=None, regex=False, method=_NoDefault.no_default)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.replace.html
pandas.api.types.,is_complex_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_complex_dtype.html
Series.,argsort,"(axis=0, kind='quicksort', order=None)",Series[np.intp],https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.argsort.html
DatetimeIndex.,is_quarter_end,,boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.is_quarter_end.html
DatetimeIndex.,is_year_end,,boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.is_year_end.html
MonthBegin.,kwds,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.kwds.html
pandas.api.types.,is_datetime64_any_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_datetime64_any_dtype.html
DataFrame.,compare,"(other, align_axis=1, keep_shape=False, keep_equal=False, result_names=('self', 'other'))",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.compare.html
pandas.api.types.,is_datetime64_any_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_datetime64_any_dtype.html
Series.,argsort,"(axis=0, kind='quicksort', order=None)",Series[np.intp],https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.argsort.html
DatetimeIndex.,is_year_start,,boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.is_year_start.html
Series.,argmin,"(axis=None, skipna=True, *args, **kwargs)",int,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.argmin.html
MonthBegin.,kwds,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.kwds.html
DatetimeIndex.,is_leap_year,,boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.is_leap_year.html
pandas.api.types.,is_datetime64_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_datetime64_dtype.html
DataFrame.,join,"(other, on=None, how='left', lsuffix='', rsuffix='', sort=False, validate=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.join.html
pandas.api.types.,is_datetime64_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_datetime64_dtype.html
MonthBegin.,name,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.name.html
Series.,argmin,"(axis=None, skipna=True, *args, **kwargs)",int,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.argmin.html
DatetimeIndex.,is_year_end,,boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.is_year_end.html
Series.,argmax,"(axis=None, skipna=True, *args, **kwargs)",int,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.argmax.html
DatetimeIndex.,inferred_freq,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.inferred_freq.html
pandas.api.types.,is_datetime64_ns_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_datetime64_ns_dtype.html
MonthBegin.,name,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.name.html
DataFrame.,merge,"(right, how='inner', on=None, left_on=None, right_on=None, left_index=False, right_index=False, sort=False, suffixes=('_x', '_y'), copy=None, indicator=False, validate=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.merge.html
pandas.api.types.,is_datetime64_ns_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_datetime64_ns_dtype.html
DatetimeIndex.,is_leap_year,,boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.is_leap_year.html
DatetimeIndex.,indexer_at_time,"(time, asof=False)",np.ndarray[np.intp],https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.indexer_at_time.html
Series.,reorder_levels,(order),type of caller (new object),https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.reorder_levels.html
Series.,argmax,"(axis=None, skipna=True, *args, **kwargs)",int,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.argmax.html
pandas.api.types.,is_datetime64tz_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_datetime64tz_dtype.html
MonthBegin.,nanos,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.nanos.html
DatetimeIndex.,indexer_between_time,"(start_time, end_time, include_start=True, include_end=True)",np.ndarray[np.intp],https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.indexer_between_time.html
pandas.api.types.,is_datetime64tz_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_datetime64tz_dtype.html
DatetimeIndex.,inferred_freq,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.inferred_freq.html
Series.,reorder_levels,(order),type of caller (new object),https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.reorder_levels.html
DataFrame.,update,"(other, join='left', overwrite=True, filter_func=None, errors='ignore')",None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.update.html
MonthBegin.,nanos,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.nanos.html
pandas.api.types.,is_extension_array_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_extension_array_dtype.html
pandas.api.types.,is_extension_array_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_extension_array_dtype.html
DatetimeIndex.,indexer_at_time,"(time, asof=False)",np.ndarray[np.intp],https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.indexer_at_time.html
DatetimeIndex.,normalize,"(*args, **kwargs)","DatetimeArray, DatetimeIndex or Series",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.normalize.html
Series.,sort_values,"(*, axis=0, ascending=True, inplace=False, kind='quicksort', na_position='last', ignore_index=False, key=None)",Series or None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.sort_values.html
MonthBegin.,normalize,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.normalize.html
pandas.api.types.,is_float_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_float_dtype.html
DataFrame.,asfreq,"(freq, method=None, how=None, normalize=False, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.asfreq.html
pandas.api.types.,is_float_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_float_dtype.html
Series.,sort_values,"(*, axis=0, ascending=True, inplace=False, kind='quicksort', na_position='last', ignore_index=False, key=None)",Series or None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.sort_values.html
DatetimeIndex.,indexer_between_time,"(start_time, end_time, include_start=True, include_end=True)",np.ndarray[np.intp],https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.indexer_between_time.html
MonthBegin.,normalize,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.normalize.html
DatetimeIndex.,strftime,(date_format),ndarray[object],https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.strftime.html
Series.,sort_index,"(*, axis=0, level=None, ascending=True, inplace=False, kind='quicksort', na_position='last', sort_remaining=True, ignore_index=False, key=None)",Series or None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.sort_index.html
DataFrame.,asof,"(where, subset=None)","scalar, Series, or DataFrame",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.asof.html
pandas.api.types.,is_int64_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_int64_dtype.html
pandas.api.types.,is_int64_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_int64_dtype.html
DatetimeIndex.,normalize,"(*args, **kwargs)","DatetimeArray, DatetimeIndex or Series",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.normalize.html
MonthBegin.,rule_code,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.rule_code.html
Series.,sort_index,"(*, axis=0, level=None, ascending=True, inplace=False, kind='quicksort', na_position='last', sort_remaining=True, ignore_index=False, key=None)",Series or None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.sort_index.html
DatetimeIndex.,snap,(freq='S'),DatetimeIndex,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.snap.html
MonthBegin.,rule_code,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.rule_code.html
DataFrame.,shift,"(periods=1, freq=None, axis=0, fill_value=_NoDefault.no_default)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.shift.html
Series.,swaplevel,"(i=- 2, j=- 1, copy=None)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.swaplevel.html
pandas.api.types.,is_integer_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_integer_dtype.html
DatetimeIndex.,strftime,(date_format),ndarray[object],https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.strftime.html
pandas.api.types.,is_integer_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_integer_dtype.html
DatetimeIndex.,tz_convert,(tz),Array or Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.tz_convert.html
Series.,swaplevel,"(i=- 2, j=- 1, copy=None)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.swaplevel.html
MonthBegin.,n,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.n.html
MonthBegin.,n,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.n.html
pandas.api.types.,is_interval_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_interval_dtype.html
pandas.api.types.,is_interval_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_interval_dtype.html
DataFrame.,first_valid_index,(),type of index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.first_valid_index.html
Series.,unstack,"(level=- 1, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.unstack.html
DatetimeIndex.,snap,(freq='S'),DatetimeIndex,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.snap.html
DatetimeIndex.,tz_localize,"(tz, ambiguous='raise', nonexistent='raise')",Same type as self,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.tz_localize.html
Series.,unstack,"(level=- 1, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.unstack.html
MonthBegin.,copy,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.copy.html
DataFrame.,last_valid_index,(),type of index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.last_valid_index.html
pandas.api.types.,is_numeric_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_numeric_dtype.html
pandas.api.types.,is_numeric_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_numeric_dtype.html
DatetimeIndex.,tz_convert,(tz),Array or Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.tz_convert.html
DatetimeIndex.,round,"(*args, **kwargs)","DatetimeIndex, TimedeltaIndex, or Series",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.round.html
Series.,explode,(ignore_index=False),Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.explode.html
Series.,explode,(ignore_index=False),Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.explode.html
MonthBegin.,copy,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.copy.html
MonthBegin.,is_anchored,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.is_anchored.html
pandas.api.types.,is_object_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_object_dtype.html
pandas.api.types.,is_object_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_object_dtype.html
DatetimeIndex.,floor,"(*args, **kwargs)","DatetimeIndex, TimedeltaIndex, or Series",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.floor.html
DatetimeIndex.,tz_localize,"(tz, ambiguous='raise', nonexistent='raise')",Same type as self,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.tz_localize.html
DataFrame.,resample,"(rule, axis=0, closed=None, label=None, convention='start', kind=None, on=None, level=None, origin='start_day', offset=None, group_keys=False)",pandas.core.Resampler,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.resample.html
Series.,searchsorted,"(value, side='left', sorter=None)",int or array of int,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.searchsorted.html
Series.,searchsorted,"(value, side='left', sorter=None)",int or array of int,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.searchsorted.html
pandas.api.types.,is_period_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_period_dtype.html
pandas.api.types.,is_period_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_period_dtype.html
MonthBegin.,is_anchored,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.is_anchored.html
MonthBegin.,is_on_offset,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.is_on_offset.html
DatetimeIndex.,round,"(*args, **kwargs)","DatetimeIndex, TimedeltaIndex, or Series",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.round.html
DatetimeIndex.,ceil,"(*args, **kwargs)","DatetimeIndex, TimedeltaIndex, or Series",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.ceil.html
DataFrame.,to_period,"(freq=None, axis=0, copy=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.to_period.html
pandas.api.types.,is_signed_integer_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_signed_integer_dtype.html
pandas.api.types.,is_signed_integer_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_signed_integer_dtype.html
Series.,ravel,(order='C'),numpy.ndarray or ExtensionArray,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.ravel.html
