方法名称1,方法名称2,方法参数,返回值类型,链接
numpy.,nanmedian,"(a, axis=None, out=None, overwrite_input=False, keepdims=<no value>)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.nanmedian.html
numpy.,prod,"(a, axis=None, dtype=None, out=None, keepdims=<no value>, initial=<no value>, where=<no value>)",None,https://numpy.org/devdocs/reference/generated/numpy.prod.html
char.,find,"(a, sub, start=0, end=None)",ndarray or int,https://numpy.org/devdocs/reference/generated/numpy.char.find.html
ma.,isMA,(x),bool,https://numpy.org/devdocs/reference/generated/numpy.ma.isMA.html
testing.,assert_array_less,"(x, y, err_msg='', verbose=True)",None,https://numpy.org/devdocs/reference/generated/numpy.testing.assert_array_less.html
polynomial.chebyshev.,chebadd,"(c1, c2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebadd.html
numpy.,diag,"(v, k=0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.diag.html
numpy.,nanmean,"(a, axis=None, dtype=None, out=None, keepdims=<no value>, *, where=<no value>)","ndarray, see dtype parameter above",https://numpy.org/devdocs/reference/generated/numpy.nanmean.html
numpy.,vsplit,"(ary, indices_or_sections)",None,https://numpy.org/devdocs/reference/generated/numpy.vsplit.html
polynomial.chebyshev.,chebsub,"(c1, c2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebsub.html
numpy.,sum,"(a, axis=None, dtype=None, out=None, keepdims=<no value>, initial=<no value>, where=<no value>)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.sum.html
char.,index,"(a, sub, start=0, end=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.index.html
testing.,assert_equal,"(actual, desired, err_msg='', verbose=True)",None,https://numpy.org/devdocs/reference/generated/numpy.testing.assert_equal.html
polynomial.chebyshev.,chebmulx,(c),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebmulx.html
numpy.,diagflat,"(v, k=0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.diagflat.html
ma.,isarray,(x),bool,https://numpy.org/devdocs/reference/generated/numpy.ma.isarray.html
numpy.,kaiser,"(M, beta)",array,https://numpy.org/devdocs/reference/generated/numpy.kaiser.html
numpy.,nanstd,"(a, axis=None, dtype=None, out=None, ddof=0, keepdims=<no value>, *, where=<no value>, mean=<no value>)","ndarray, see dtype parameter above.",https://numpy.org/devdocs/reference/generated/numpy.nanstd.html
numpy.,nanprod,"(a, axis=None, dtype=None, out=None, keepdims=<no value>, initial=<no value>, where=<no value>)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.nanprod.html
numpy.,tile,"(A, reps)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.tile.html
polynomial.chebyshev.,chebmul,"(c1, c2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebmul.html
ma.,isin,"(element, test_elements, assume_unique=False, invert=False)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.isin.html
numpy.,tri,"(N, M=None, k=0, dtype=<class 'float'>, *, like=None)","ndarray of shape (N, M)",https://numpy.org/devdocs/reference/generated/numpy.tri.html
numpy.,nanvar,"(a, axis=None, dtype=None, out=None, ddof=0, keepdims=<no value>, *, where=<no value>, mean=<no value>)","ndarray, see dtype parameter above",https://numpy.org/devdocs/reference/generated/numpy.nanvar.html
numpy.,nansum,"(a, axis=None, dtype=None, out=None, keepdims=<no value>, initial=<no value>, where=<no value>)",ndarray.,https://numpy.org/devdocs/reference/generated/numpy.nansum.html
char.,isalpha,(a),ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.isalpha.html
polynomial.chebyshev.,chebdiv,"(c1, c2)",ndarrays,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebdiv.html
testing.,assert_raises,"(exception_class, callable, *args, **kwargs) assert_raises(exception_class)",None,https://numpy.org/devdocs/reference/generated/numpy.testing.assert_raises.html
numpy.,repeat,"(a, repeats, axis=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.repeat.html
ma.,in1d,"(ar1, ar2, assume_unique=False, invert=False)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.in1d.html
numpy.,tril,"(m, k=0)","ndarray, shape (…, M, N)",https://numpy.org/devdocs/reference/generated/numpy.tril.html
numpy.,corrcoef,"(x, y=None, rowvar=True, bias=<no value>, ddof=<no value>, *, dtype=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.corrcoef.html
numpy.,cumprod,"(a, axis=None, dtype=None, out=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.cumprod.html
polynomial.chebyshev.,chebpow,"(c, pow, maxpower=16)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebpow.html
testing.,assert_raises_regex,"(exception_class, expected_regexp, callable, *args, **kwargs) assert_raises_regex(exception_class, expected_regexp)",None,https://numpy.org/devdocs/reference/generated/numpy.testing.assert_raises_regex.html
char.,isalnum,(a),ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.isalnum.html
numpy.,delete,"(arr, obj, axis=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.delete.html
polynomial.chebyshev.,chebval,"(x, c, tensor=True)","ndarray, algebra_like",https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebval.html
numpy.,correlate,"(a, v, mode='valid')",ndarray,https://numpy.org/devdocs/reference/generated/numpy.correlate.html
ma.,unique,"(ar1, return_index=False, return_inverse=False)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.unique.html
numpy.,cumsum,"(a, axis=None, dtype=None, out=None)",ndarray.,https://numpy.org/devdocs/reference/generated/numpy.cumsum.html
numpy.,triu,"(m, k=0)",None,https://numpy.org/devdocs/reference/generated/numpy.triu.html
polynomial.chebyshev.,chebval2d,"(x, y, c)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebval2d.html
testing.,assert_warns,"(warning_class, *args, **kwargs)",None,https://numpy.org/devdocs/reference/generated/numpy.testing.assert_warns.html
char.,isdecimal,(a),"ndarray, bool",https://numpy.org/devdocs/reference/generated/numpy.char.isdecimal.html
numpy.,insert,"(arr, obj, values, axis=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.insert.html
numpy.,vander,"(x, N=None, increasing=False)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.vander.html
numpy.,nancumprod,"(a, axis=None, dtype=None, out=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.nancumprod.html
numpy.,cov,"(m, y=None, rowvar=True, bias=False, ddof=None, fweights=None, aweights=None, *, dtype=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.cov.html
ma.MaskedArray.,all,"(axis=None, out=None, keepdims=<no value>)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.all.html
testing.,assert_no_warnings,"(*args, **kwargs)",None,https://numpy.org/devdocs/reference/generated/numpy.testing.assert_no_warnings.html
char.,isdigit,(a),ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.isdigit.html
polynomial.chebyshev.,chebval3d,"(x, y, z, c)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebval3d.html
numpy.,mat,"(data, dtype=None)",matrix,https://numpy.org/devdocs/reference/generated/numpy.mat.html
numpy.,nancumsum,"(a, axis=None, dtype=None, out=None)",ndarray.,https://numpy.org/devdocs/reference/generated/numpy.nancumsum.html
polynomial.chebyshev.,chebgrid2d,"(x, y, c)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebgrid2d.html
numpy.,histogram,"(a, bins=10, range=None, density=None, weights=None)",array,https://numpy.org/devdocs/reference/generated/numpy.histogram.html
testing.,assert_no_gc_cycles,"(*args, **kwargs)",None,https://numpy.org/devdocs/reference/generated/numpy.testing.assert_no_gc_cycles.html
polynomial.chebyshev.,chebgrid3d,"(x, y, z, c)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebgrid3d.html
numpy.,append,"(arr, values, axis=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.append.html
char.,islower,(a),ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.islower.html
numpy.,histogram2d,"(x, y, bins=10, range=None, density=None, weights=None)","ndarray, shape(nx, ny)",https://numpy.org/devdocs/reference/generated/numpy.histogram2d.html
polynomial.chebyshev.,chebder,"(c, m=1, scl=1, axis=0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebder.html
numpy.,bmat,"(obj, ldict=None, gdict=None)",matrix,https://numpy.org/devdocs/reference/generated/numpy.bmat.html
testing.,assert_string_equal,"(actual, desired)",None,https://numpy.org/devdocs/reference/generated/numpy.testing.assert_string_equal.html
numpy.,diff,"(a, n=1, axis=-1, prepend=<no value>, append=<no value>)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.diff.html
numpy.,resize,"(a, new_shape)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.resize.html
polynomial.chebyshev.,chebint,"(c, m=1, k=[], lbnd=0, scl=1, axis=0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebint.html
char.,isnumeric,(a),"ndarray, bool",https://numpy.org/devdocs/reference/generated/numpy.char.isnumeric.html
ma.MaskedArray.,any,"(axis=None, out=None, keepdims=<no value>)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.any.html
numpy.,histogramdd,"(sample, bins=10, range=None, density=None, weights=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.histogramdd.html
polynomial.chebyshev.,chebfromroots,(roots),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebfromroots.html
numpy.,ediff1d,"(ary, to_end=None, to_begin=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.ediff1d.html
testing.,assert_,"(val, msg='')",None,https://numpy.org/devdocs/reference/generated/numpy.testing.assert_.html
polynomial.chebyshev.,chebroots,(c),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebroots.html
ma.MaskedArray.,count,"(axis=None, keepdims=<no value>)",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.count.html
char.,isspace,(a),ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.isspace.html
polynomial.chebyshev.,chebvander,"(x, deg)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebvander.html
testing.,assert_almost_equal,"(actual, desired, decimal=7, err_msg='', verbose=True)",None,https://numpy.org/devdocs/reference/generated/numpy.testing.assert_almost_equal.html
numpy.,bincount,"(x, /, weights=None, minlength=0)",ndarray of ints,https://numpy.org/devdocs/reference/generated/numpy.bincount.html
ma.MaskedArray.,nonzero,(),tuple,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.nonzero.html
polynomial.chebyshev.,chebvander2d,"(x, y, deg)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebvander2d.html
numpy.,gradient,"(f, *varargs, axis=None, edge_order=1)",ndarray or list of ndarray,https://numpy.org/devdocs/reference/generated/numpy.gradient.html
numpy.,trim_zeros,"(filt, trim='fb')",1-D array or sequence,https://numpy.org/devdocs/reference/generated/numpy.trim_zeros.html
testing.,assert_approx_equal,"(actual, desired, significant=7, err_msg='', verbose=True)",None,https://numpy.org/devdocs/reference/generated/numpy.testing.assert_approx_equal.html
polynomial.chebyshev.,chebvander3d,"(x, y, z, deg)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebvander3d.html
char.,istitle,(a),ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.istitle.html
ma.,shape,(obj),tuple of ints,https://numpy.org/devdocs/reference/generated/numpy.ma.shape.html
numpy.,histogram_bin_edges,"(a, bins=10, range=None, weights=None)",array of dtype float,https://numpy.org/devdocs/reference/generated/numpy.histogram_bin_edges.html
numpy.,cross,"(a, b, axisa=-1, axisb=-1, axisc=-1, axis=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.cross.html
polynomial.chebyshev.,chebgauss,(deg),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebgauss.html
numpy.,unique,"(ar, return_index=False, return_inverse=False, return_counts=False, axis=None, *, equal_nan=True)",None,https://numpy.org/devdocs/reference/generated/numpy.unique.html
ma.,size,"(obj, axis=None)",int,https://numpy.org/devdocs/reference/generated/numpy.ma.size.html
testing.,assert_array_almost_equal,"(x, y, decimal=6, err_msg='', verbose=True)",None,https://numpy.org/devdocs/reference/generated/numpy.testing.assert_array_almost_equal.html
polynomial.chebyshev.,chebweight,(x),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebweight.html
char.,isupper,(a),ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.isupper.html
numpy.,trapz,"(y, x=None, dx=1.0, axis=-1)",float or ndarray,https://numpy.org/devdocs/reference/generated/numpy.trapz.html
numpy.,digitize,"(x, bins, right=False)",ndarray of ints,https://numpy.org/devdocs/reference/generated/numpy.digitize.html
numpy.,flip,"(m, axis=None)",array_like,https://numpy.org/devdocs/reference/generated/numpy.flip.html
polynomial.chebyshev.,chebcompanion,(c),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebcompanion.html
char.,rfind,"(a, sub, start=0, end=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.rfind.html
testing.,print_assert_equal,"(test_string, actual, desired)",None,https://numpy.org/devdocs/reference/generated/numpy.testing.print_assert_equal.html
ma.,ravel,"(self, order='C')",None,https://numpy.org/devdocs/reference/generated/numpy.ma.ravel.html
numpy.,exp,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.exp.html
polynomial.chebyshev.,chebfit,"(x, y, deg, rcond=None, full=False, w=None)",None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebfit.html
numpy.,fliplr,(m),ndarray,https://numpy.org/devdocs/reference/generated/numpy.fliplr.html
polynomial.chebyshev.,chebpts1,(npts),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebpts1.html
char.,rindex,"(a, sub, start=0, end=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.rindex.html
testing.,decorate_methods,"(cls, decorator, testmatch=None)",None,https://numpy.org/devdocs/reference/generated/numpy.testing.decorate_methods.html
ma.,reshape,"(a, new_shape, order='C')",None,https://numpy.org/devdocs/reference/generated/numpy.ma.reshape.html
polynomial.chebyshev.,chebpts2,(npts),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebpts2.html
numpy.,flipud,(m),array_like,https://numpy.org/devdocs/reference/generated/numpy.flipud.html
numpy.,expm1,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.expm1.html
char.,startswith,"(a, prefix, start=0, end=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.startswith.html
ma.,resize,"(x, new_shape)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.resize.html
numpy.testing.,clear_and_catch_warnings,"(record=False, modules=())",None,https://numpy.org/devdocs/reference/generated/numpy.testing.clear_and_catch_warnings.html
polynomial.chebyshev.,chebtrim,"(c, tol=0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebtrim.html
numpy.,reshape,"(a, newshape, order='C')",ndarray,https://numpy.org/devdocs/reference/generated/numpy.reshape.html
numpy.,exp2,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.exp2.html
char.,str_len,(a),ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.str_len.html
ma.MaskedArray.,flatten,(order='C'),ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.flatten.html
testing.,measure,"(code_str, times=1, label=None)",float,https://numpy.org/devdocs/reference/generated/numpy.testing.measure.html
polynomial.chebyshev.,chebline,"(off, scl)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebline.html
numpy.,roll,"(a, shift, axis=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.roll.html
polynomial.chebyshev.,cheb2poly,(c),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.cheb2poly.html
numpy.,log,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.log.html
ma.MaskedArray.,ravel,(order='C'),None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.ravel.html
testing.,rundocs,"(filename=None, raise_on_error=True)",None,https://numpy.org/devdocs/reference/generated/numpy.testing.rundocs.html
polynomial.chebyshev.,poly2cheb,(pol),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.poly2cheb.html
numpy.,rot90,"(m, k=1, axes=(0, 1))",ndarray,https://numpy.org/devdocs/reference/generated/numpy.rot90.html
char.,array,"(obj, itemsize=None, copy=True, unicode=None, order=None)",None,https://numpy.org/devdocs/reference/generated/numpy.char.array.html
polynomial.chebyshev.,chebinterpolate,"(func, deg, args=())","ndarray, shape (deg + 1,)",https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebinterpolate.html
numpy.,log10,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.log10.html
ma.MaskedArray.,reshape,"(*s, **kwargs)",array,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.reshape.html
numpy.testing.extbuild.,build_and_import_extension,"(modname, functions, *, prologue='', build_dir=None, include_dirs=[], more_init='')",None,https://numpy.org/devdocs/reference/testing.html
numpy.polynomial.hermite.,Hermite,"(coef, domain=None, window=None, symbol='x')",None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.Hermite.html
numpy.,log2,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.log2.html
char.,asarray,"(obj, itemsize=None, unicode=None, order=None)",None,https://numpy.org/devdocs/reference/generated/numpy.char.asarray.html
numpy.testing.extbuild.,build_and_import_extension,"(modname, functions, *, prologue='', build_dir=None, include_dirs=[], more_init='')",None,https://numpy.org/devdocs/reference/testing.html#running-tests-from-inside-python
polynomial.hermite.,hermdomain,"([-1,  1])",None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermdomain.html
numpy.testing.extbuild.,build_and_import_extension,"(modname, functions, *, prologue='', build_dir=None, include_dirs=[], more_init='')",None,https://numpy.org/devdocs/reference/testing.html#running-tests-from-the-command-line
numpy.,log1p,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.log1p.html
polynomial.hermite.,hermzero,([0]),None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermzero.html
ma.MaskedArray.,resize,"(newshape, refcheck=True, order=False)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.resize.html
numpy.,logaddexp,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.logaddexp.html
numpy.testing.extbuild.,build_and_import_extension,"(modname, functions, *, prologue='', build_dir=None, include_dirs=[], more_init='')",None,https://numpy.org/devdocs/reference/testing.html#other-methods-of-running-tests
polynomial.hermite.,hermone,([1]),None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermone.html
ma.,swapaxes,"(self, *args, **params) a.swapaxes(axis1, axis2)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.swapaxes.html
polynomial.hermite.,hermx,"([0. , 0.5])",None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermx.html
numpy.,logaddexp2,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.logaddexp2.html
numpy.testing.extbuild.,build_and_import_extension,"(modname, functions, *, prologue='', build_dir=None, include_dirs=[], more_init='')",None,https://numpy.org/devdocs/reference/testing.html#using-c-code-in-tests
polynomial.hermite.,hermadd,"(c1, c2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermadd.html
ma.,transpose,"(a, axes=None)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.transpose.html
numpy.testing.extbuild.,build_and_import_extension,"(modname, functions, *, prologue='', build_dir=None, include_dirs=[], more_init='')",None,https://numpy.org/devdocs/reference/testing.html#labeling-tests
numpy.,i0,(x),"ndarray, shape = x.shape, dtype = float",https://numpy.org/devdocs/reference/generated/numpy.i0.html
polynomial.hermite.,hermsub,"(c1, c2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermsub.html
polynomial.hermite.,hermmulx,(c),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermmulx.html
numpy.testing.extbuild.,build_and_import_extension,"(modname, functions, *, prologue='', build_dir=None, include_dirs=[], more_init='')",None,https://numpy.org/devdocs/reference/testing.html#easier-setup-and-teardown-functions-methods
ma.MaskedArray.,swapaxes,"(axis1, axis2)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.swapaxes.html
numpy.,sinc,(x),ndarray,https://numpy.org/devdocs/reference/generated/numpy.sinc.html
numpy.testing.extbuild.,build_and_import_extension,"(modname, functions, *, prologue='', build_dir=None, include_dirs=[], more_init='')",None,https://numpy.org/devdocs/reference/testing.html#parametric-tests
ma.MaskedArray.,transpose,(*axes),ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.transpose.html
numpy.,signbit,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray of bool,https://numpy.org/devdocs/reference/generated/numpy.signbit.html
numpy.testing.extbuild.,build_and_import_extension,"(modname, functions, *, prologue='', build_dir=None, include_dirs=[], more_init='')",None,https://numpy.org/devdocs/reference/testing.html#doctests
polynomial.hermite.,hermmul,"(c1, c2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermmul.html
numpy.testing.extbuild.,build_and_import_extension,"(modname, functions, *, prologue='', build_dir=None, include_dirs=[], more_init='')",None,https://numpy.org/devdocs/reference/testing.html#tests
numpy.,copysign,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.copysign.html
polynomial.hermite.,hermdiv,"(c1, c2)",ndarrays,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermdiv.html
numpy.testing.extbuild.,build_and_import_extension,"(modname, functions, *, prologue='', build_dir=None, include_dirs=[], more_init='')",None,https://numpy.org/devdocs/reference/testing.html#init-py-and-setup-py
polynomial.hermite.,hermpow,"(c, pow, maxpower=16)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermpow.html
numpy.,frexp,"(x, [out1, out2, ]/, [out=(None, None), ]*, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.frexp.html
ma.,atleast_1d,,ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.atleast_1d.html
polynomial.hermite.,hermval,"(x, c, tensor=True)","ndarray, algebra_like",https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermval.html
numpy.,ldexp,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.ldexp.html
ma.,atleast_2d,,ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.atleast_2d.html
numpy.testing.extbuild.,build_and_import_extension,"(modname, functions, *, prologue='', build_dir=None, include_dirs=[], more_init='')",None,https://numpy.org/devdocs/reference/testing.html#creating-many-similar-tests
polynomial.hermite.,hermval2d,"(x, y, c)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermval2d.html
polynomial.hermite.,hermval3d,"(x, y, z, c)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermval3d.html
ma.,atleast_3d,,ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.atleast_3d.html
polynomial.hermite.,hermgrid2d,"(x, y, c)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermgrid2d.html
numpy.testing.extbuild.,build_and_import_extension,"(modname, functions, *, prologue='', build_dir=None, include_dirs=[], more_init='')",None,https://numpy.org/devdocs/reference/testing.html#known-failures-skipping-tests
ma.,expand_dims,"(a, axis)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.expand_dims.html
polynomial.hermite.,hermgrid3d,"(x, y, z, c)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermgrid3d.html
numpy.testing.extbuild.,build_and_import_extension,"(modname, functions, *, prologue='', build_dir=None, include_dirs=[], more_init='')",None,https://numpy.org/devdocs/reference/testing.html#tests-on-random-data
numpy.,nextafter,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.nextafter.html
polynomial.hermite.,hermder,"(c, m=1, scl=1, axis=0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermder.html
numpy.testing.extbuild.,build_and_import_extension,"(modname, functions, *, prologue='', build_dir=None, include_dirs=[], more_init='')",None,https://numpy.org/devdocs/reference/testing.html#documentation-for-numpy-test
ma.,squeeze,,MaskedArray,https://numpy.org/devdocs/reference/generated/numpy.ma.squeeze.html
polynomial.hermite.,hermint,"(c, m=1, k=[], lbnd=0, scl=1, axis=0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermint.html
numpy.,spacing,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.spacing.html
polynomial.hermite.,hermfromroots,(roots),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermfromroots.html
ma.MaskedArray.,squeeze,(axis=None),None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.squeeze.html
numpy.,lcm,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.lcm.html
polynomial.hermite.,hermroots,(c),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermroots.html
numpy.,gcd,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.gcd.html
polynomial.hermite.,hermvander,"(x, deg)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermvander.html
ma.,stack,,ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.stack.html
polynomial.hermite.,hermvander2d,"(x, y, deg)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermvander2d.html
